block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,0,1.41,1366,2.57,954688,Y2,,,0,20.695,clean
0,1,0,1.41,810,2.51,469029,Y2,,,0,19.551,clean
0,2,0,1.37,737,2.36,1176417,Y4,,,0,18.550,clean
0,3,0,1.40,1547,2.38,1462787,Y2,,,0,17.950,clean
0,4,0,1.35,1186,2.54,1042217,Y4,,,0,17.834,clean
0,5,0,1.51,1,2.51,1236677,Y4,,,0,18.009,clean
0,6,0,1.71,1478,2.33,48369,Y2,,,0,17.956,clean
0,7,0,1.71,1,2.41,197768,Y4,,,0,17.388,clean
0,8,0,1.35,1,2.44,1022011,Y4,,,0,16.752,clean
0,9,0,1.54,1,2.32,279307,Y4,,,0,16.230,clean
0,10,0,1.49,1,2.46,1056433,Y2,,,0,16.216,clean
0,11,0,1.62,1,2.49,1339406,Y4,,,0,16.598,clean
0,12,0,1.45,1,2.35,1370072,Y2,,,0,16.847,clean
0,13,0,1.68,1,2.41,595272,Y2,,,0,16.678,clean
0,14,0,1.48,1,2.25,116050,Y2,,,0,16.198,clean
0,15,0,1.66,1,2.41,610650,Y4,,,0,15.873,clean
0,16,0,1.40,826,2.49,1087010,Y4,,,0,16.178,clean
0,17,0,1.51,1,2.35,28521,Y4,,,0,16.839,clean
0,18,0,1.62,868,2.39,1457244,Y2,,,0,19.162,clean
0,19,0,1.56,1,2.39,471979,Y4,,,0,17.214,clean
0,20,0,1.50,1,2.34,1457959,Y2,,,0,16.345,clean
0,21,0,1.68,1,2.34,932246,Y2,,,0,15.601,clean
0,22,0,1.31,507,2.35,340194,Y2,,,0,15.369,clean
0,23,0,1.65,1,2.51,31471,Y2,,,0,15.699,clean
0,24,0,1.54,1,2.44,856966,Y2,,,0,16.098,clean
0,25,0,1.56,204,2.55,280291,Y2,,,0,15.976,clean
0,26,0,1.82,1,2.51,127494,Y2,,,0,15.366,clean
0,27,0,1.81,1,2.45,1348346,Y2,,,0,14.936,clean
0,28,0,1.65,1,2.38,1260549,Y2,,,0,14.414,clean
0,29,0,1.52,1,2.26,275731,Y4,,,0,14.660,clean
0,30,0,1.41,1,2.71,74565,Y2,,,0,15.005,clean
0,31,0,1.64,1,2.50,855446,Y2,,,0,14.945,clean
0,32,0,1.33,581,2.28,475734,Y2,,,0,14.389,clean
0,33,0,1.85,1,2.47,1326889,Y2,,,0,13.796,clean
0,34,0,1.96,1,2.44,530183,Y4,,,0,13.603,clean
0,35,0,1.69,1,2.21,720978,Y2,,,0,13.988,clean
0,36,0,1.53,1,2.52,90569,Y4,,,0,14.499,clean
0,37,0,1.89,1,2.47,15736,Y2,,,0,14.642,clean
0,38,0,1.59,1,2.34,110865,Y2,,,0,14.164,clean
0,39,0,1.66,1,2.36,1086205,Y4,,,0,13.497,clean
0,40,0,1.85,1,2.38,1104534,Y2,,,0,13.158,clean
0,41,0,2.05,1,2.43,1199305,Y4,,,0,13.387,clean
0,42,0,1.81,1,2.83,813514,Y2,,,0,13.827,clean
0,43,0,1.55,1,2.53,117213,Y2,,,0,14.082,clean
0,44,0,1.53,1,2.47,1172125,Y4,,,0,13.628,clean
0,45,0,1.69,1,2.49,873238,Y4,,,0,12.780,clean
0,46,0,1.87,1,2.51,272334,Y2,,,0,12.235,clean
0,47,0,1.81,1,2.48,1267165,Y4,,,0,12.114,clean
0,48,0,1.68,1,2.57,1200110,Y4,,,0,12.300,clean
0,49,0,2.04,1,2.44,111580,Y4,,,0,12.365,clean
0,50,0,2.05,1,2.38,544578,Y2,,,0,11.875,clean
0,51,0,2.27,1,2.43,298977,Y2,,,0,11.074,clean
0,52,0,1.94,1,2.45,528216,Y4,,,0,10.279,clean
0,53,0,2.24,1,2.35,1044095,Y4,,,0,9.700,clean
0,54,0,2.31,1,2.66,743955,Y4,,,0,9.327,clean
0,55,0,2.57,1,2.53,1080662,Y4,0.00/noise-like,0.00/noise-like,0,8.836,hump-note
0,56,0,2.95,1,2.28,1119286,Y2,0.00/noise-like,0.24/noise-like,0,7.943,hump-note
0,57,0,0,-1,0,0,-,,,0,6.773,QUARANTINE:dark-lane range=60 distinct=57
0,58,0,0,-1,0,0,-,,,0,5.720,QUARANTINE:dark-lane range=46 distinct=47
0,59,0,0,-1,0,0,-,,,0,4.870,QUARANTINE:dark-lane range=40 distinct=41
0,60,0,0,-1,0,0,-,,,0,4.154,QUARANTINE:dark-lane range=34 distinct=35
0,61,0,0,-1,0,0,-,,,0,3.549,QUARANTINE:dark-lane range=28 distinct=29
0,62,0,0,-1,0,0,-,,,0,2.954,QUARANTINE:dark-lane range=28 distinct=27
0,63,0,0,-1,0,0,-,,,0,2.395,QUARANTINE:dark-lane range=22 distinct=22
